stationid,tripsin,tripsout,tripsfailedin,tripsfailedout,tripsfailedout_battery,trips_failedout_destinationfull,station_capacity,demand,percent,edocks
3103,6367,6364,122,524,0,378,30,13377,0.000789223,0
3408,6290,6283,52,632,0,369,27,13257,0.000782143,0
3376,6033,6025,0,1140,0,120,39,13198,0.000778662,0
3102,6161,6171,25,829,0,397,27,13186,0.000777954,0
313,6259,6255,88,496,0,298,23,13098,0.000772762,0
82,6179,6184,39,515,0,258,27,12917,0.000762084,0
3373,6207,6203,44,456,0,292,27,12910,0.000761671,0
399,5067,5077,0,2723,0,314,27,12867,0.000759134,0
3464,5940,5948,11,944,0,274,30,12843,0.000757718,0
3126,6034,6031,16,574,0,155,34,12655,0.000746626,0
3434,5763,5768,6,1113,0,96,35,12650,0.000746331,0
3148,5841,5844,5,899,0,56,31,12589,0.000742732,0
3298,5927,5917,101,642,0,398,23,12587,0.000742614,0
3365,5956,5961,24,591,0,205,27,12532,0.000739369,0
3312,5837,5844,2,818,0,89,39,12501,0.00073754,0
365,5921,5926,31,595,0,256,31,12473,0.000735888,0
354,5860,5855,89,594,0,383,23,12398,0.000731463,0
364,5735,5739,19,867,0,330,27,12360,0.000729221,0
3356,5543,5542,18,987,0,86,21,12090,0.000713292,0
339,5422,5425,53,1172,0,212,24,12072,0.00071223,0
3083,5627,5625,6,698,0,341,30,11956,0.000705386,0
418,5577,5571,276,458,0,241,23,11882,0.00070102,0
3417,5680,5689,62,399,0,265,27,11830,0.000697952,0
3438,5407,5411,3,944,0,78,31,11765,0.000694117,0
3430,5345,5350,87,944,0,388,19,11726,0.000691816,0
3357,5219,5227,0,1239,0,78,35,11685,0.000689397,0
407,5462,5440,23,734,0,260,37,11659,0.000687863,0
3308,5394,5401,64,690,0,295,27,11549,0.000681374,0
3328,5257,5263,1,994,0,90,39,11515,0.000679368,0
3364,5474,5458,56,467,0,259,27,11455,0.000675828,0
3396,5439,5443,71,462,0,335,25,11415,0.000673468,0
270,5174,5179,61,927,0,388,23,11341,0.000669102,0
3117,5405,5413,67,450,0,241,27,11335,0.000668748,0
3125,5371,5367,32,525,0,168,23,11295,0.000666388,0
3289,5092,5100,1,1099,0,81,32,11292,0.000666211,0
262,5049,5055,21,1163,0,318,24,11288,0.000665975,0
