bike,start_time,end_time,start_st,end_st
418_6,2017-07-07 08:53:52.585078,2017-07-07 08:56:29.314886,3457,305
470_14,2017-07-07 08:53:16.931691,2017-07-07 08:57:13.348101,3457,305
376_6,2017-07-07 08:59:50.849843,2017-07-07 09:02:33.489818,309,146
3375_9,2017-07-07 09:00:24.879359,2017-07-07 09:03:48.298500,426,327
3321_2,2017-07-07 09:01:41.599283,2017-07-07 09:04:12.375616,3088,3096
228_14,2017-07-07 09:06:44.920802,2017-07-07 09:08:16.006549,3461,417
455_16,2017-07-07 09:06:56.346547,2017-07-07 09:09:09.066291,3461,417
3458_10,2017-07-07 09:07:30.749640,2017-07-07 09:10:21.825667,3461,309
480_4,2017-07-07 09:08:57.905023,2017-07-07 09:10:48.034126,417,309
416_4,2017-07-07 09:12:18.953315,2017-07-07 09:14:26.020001,309,249
332_5,2017-07-07 09:37:38.307327,2017-07-07 09:40:26.769898,3233,484
3328_18,2017-07-07 09:37:50.757080,2017-07-07 09:41:29.703445,3233,484
3176_7,2017-07-07 09:41:05.408453,2017-07-07 09:42:38.108302,249,79
356_3,2017-07-07 09:40:16.767537,2017-07-07 09:43:01.000852,3233,359
3143_16,2017-07-07 09:44:13.145965,2017-07-07 09:46:51.150511,359,440
3286_2,2017-07-07 09:44:36.463807,2017-07-07 09:47:20.207415,359,440
3146_10,2017-07-07 09:44:38.689132,2017-07-07 09:47:35.693241,359,440
420_4,2017-07-07 09:50:36.117585,2017-07-07 09:52:57.751917,522,456
3160_10,2017-07-07 09:52:28.225801,2017-07-07 09:56:18.976503,456,3132
276_7,2017-07-07 09:54:37.874022,2017-07-07 09:56:56.052070,456,3132
3119_8,2017-07-07 09:58:02.006132,2017-07-07 09:59:54.082387,3463,497
251_11,2017-07-07 09:58:24.358487,2017-07-07 10:01:18.463941,484,524
3425_12,2017-07-07 09:59:34.976203,2017-07-07 10:01:58.608008,497,3463
164_5,2017-07-07 10:02:02.498091,2017-07-07 10:04:05.835205,3463,503
3256_6,2017-07-07 10:04:03.945822,2017-07-07 10:08:09.404901,456,3132
432_2,2017-07-07 10:04:22.418078,2017-07-07 10:08:53.768394,456,3132
325_4,2017-07-07 10:04:27.954085,2017-07-07 10:09:11.641199,320,387
422_0,2017-07-07 10:04:24.139461,2017-07-07 10:09:45.977187,320,387
324_3,2017-07-07 10:08:36.230505,2017-07-07 10:10:57.071732,79,320
3306_9,2017-07-07 10:10:12.855473,2017-07-07 10:14:01.403696,327,146
3461_5,2017-07-07 10:10:56.346943,2017-07-07 10:14:37.663237,257,355
195_20,2017-07-07 10:12:55.930313,2017-07-07 10:15:04.284249,359,164
477_19,2017-07-07 10:12:18.153455,2017-07-07 10:15:05.600744,359,164
3425_5,2017-07-07 10:12:26.737835,2017-07-07 10:15:08.826264,359,164
386_12,2017-07-07 10:13:42.507066,2017-07-07 10:17:04.475505,146,79
168_15,2017-07-07 10:15:05.865000,2017-07-07 10:18:16.223306,146,79
266_2,2017-07-07 10:15:04.808225,2017-07-07 10:18:22.066811,146,79
3461_14,2017-07-07 10:29:50.072438,2017-07-07 10:34:15.488422,146,327
3355_7,2017-07-07 10:30:38.645377,2017-07-07 10:35:00.217068,146,327
477_2,2017-07-07 10:29:37.128333,2017-07-07 10:36:35.293812,146,327
3284_10,2017-07-07 10:37:10.396109,2017-07-07 10:39:15.538139,351,315
3044_6,2017-07-07 10:54:21.694941,2017-07-07 10:56:18.373654,337,351
313_1,2017-07-07 10:56:55.916735,2017-07-07 10:59:28.456794,351,376
314_19,2017-07-07 11:01:32.223023,2017-07-07 11:04:05.193973,376,351
537_5,2017-07-07 11:02:48.848067,2017-07-07 11:05:11.954013,376,351
387_8,2017-07-07 11:03:53.649101,2017-07-07 11:07:02.523248,351,195
3137_4,2017-07-07 11:03:53.654651,2017-07-07 11:08:40.383822,351,195
3145_17,2017-07-07 11:13:56.432390,2017-07-07 11:17:12.206434,3132,3136
119_7,2017-07-07 11:15:59.512772,2017-07-07 11:18:35.253602,359,456
164_9,2017-07-07 11:16:58.139887,2017-07-07 11:20:24.839336,359,456
3192_7,2017-07-07 11:16:55.221184,2017-07-07 11:20:27.371248,359,456
505_7,2017-07-07 11:17:03.895504,2017-07-07 11:22:54.911501,3136,456
